params,score,avg_r2,avg_hit_ratio
"{'spline_tolerance': 0.0025, 'cusum_threshold': 5.0}",0.54,0.8,0.65
"{'spline_tolerance': 0.005, 'cusum_threshold': 5.0}",0.44000000000000006,0.55,0.525
"{'spline_tolerance': 0.0025, 'cusum_threshold': 7.0}",0.4200000000000001,0.6000000000000001,0.65
"{'spline_tolerance': 0.0025, 'cusum_threshold': 3.0}",0.4200000000000001,0.6000000000000001,0.65
"{'spline_tolerance': 0.001, 'cusum_threshold': 5.0}",0.4200000000000001,0.65,0.5750000000000001
"{'spline_tolerance': 0.005, 'cusum_threshold': 7.0}",0.32000000000000006,0.35000000000000003,0.525
"{'spline_tolerance': 0.005, 'cusum_threshold': 3.0}",0.32000000000000006,0.35000000000000003,0.525
"{'spline_tolerance': 0.001, 'cusum_threshold': 3.0}",0.3,0.45,0.5750000000000001
"{'spline_tolerance': 0.001, 'cusum_threshold': 7.0}",0.3,0.45,0.5750000000000001
